"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"09:10:52:915","746622896976","   0.103","   4.138"," 2156"," 1200"," 3400"," 2219","   4.294","   0.444","   0.123","   2.270","   0.234","   0.065"," 76","0"," 72"," 83","   0.650","   0.067","   0.019","  45.000","    0","    0"
"09:10:53:025","746909217836","   0.214","  10.592"," 2508"," 1200"," 3400"," 2691","   9.075","   1.446","   0.402","   6.803","   0.986","   0.274"," 81","0"," 71"," 82","   0.835","   0.159","   0.044","  45.000","    0","    0"
"09:10:53:128","747176334642","   0.317","   9.374"," 2576"," 1200"," 3400"," 2720","   8.124","   2.283","   0.634","   5.748","   1.578","   0.438"," 79","0"," 70"," 81","   0.874","   0.249","   0.069","  45.000","    0","    0"
"09:10:53:229","747436027456","   0.417","   9.672"," 2555"," 1200"," 3400"," 2766","   8.840","   3.169","   0.880","   6.052","   2.185","   0.607"," 78","0"," 69"," 79","   0.904","   0.340","   0.094","  45.000","    0","    0"
"09:10:53:329","747696905382","   0.518","   6.267"," 2578"," 1200"," 3400"," 2830","   6.306","   3.804","   1.057","   4.095","   2.597","   0.721"," 73","0"," 69"," 78","   0.759","   0.416","   0.116","  45.000","    0","    0"
"09:10:53:433","747966569280","   0.622","   4.711"," 1980"," 1200"," 3100"," 2120","   3.491","   4.167","   1.157","   2.059","   2.811","   0.781"," 72","0"," 68"," 73","   0.688","   0.488","   0.136","  45.000","    0","    0"
"09:10:53:536","748233331814","   0.725","  11.946"," 2811"," 1300"," 3300"," 3140","  11.685","   5.369","   1.492","   8.523","   3.688","   1.025"," 74","0"," 68"," 79","   0.922","   0.583","   0.162","  45.000","    0","    0"
"09:10:53:637","748495443486","   0.826","  10.637"," 2707"," 1200"," 3200"," 3152","  10.363","   6.417","   1.783","   7.122","   4.408","   1.225"," 73","0"," 69"," 78","   0.967","   0.681","   0.189","  45.000","    0","    0"
"09:10:53:741","748763876160","   0.929","   8.236"," 2745"," 1200"," 3400"," 3032","   8.362","   7.283","   2.023","   5.804","   5.010","   1.392"," 72","0"," 69"," 78","   0.862","   0.770","   0.214","  45.000","    0","    0"
"09:10:53:845","749034865536","   1.034","   4.041"," 2093"," 1200"," 3400"," 2227","   3.474","   7.647","   2.124","   2.062","   5.225","   1.451"," 71","0"," 68"," 73","   0.636","   0.836","   0.232","  45.000","    0","    0"
"09:10:53:947","749299153412","   1.136","   3.654"," 1771"," 1200"," 3200"," 1904","   2.863","   7.939","   2.205","   1.540","   5.382","   1.495"," 71","0"," 68"," 72","   0.647","   0.902","   0.251","  45.000","    0","    0"
"09:10:54:048","749559280080","   1.236","   5.938"," 1904"," 1200"," 3200"," 2003","   4.142","   8.354","   2.321","   2.702","   5.653","   1.570"," 72","0"," 67"," 74","   0.642","   0.967","   0.269","  45.000","    0","    0"

"Total Elapsed Time (sec) = 1.236152"
"Measured RDTSC Frequency (GHz) = 2.592"

"Cumulative Package Energy_0 (Joules) = 8.354248"
"Cumulative Package Energy_0 (mWh) = 2.320624"
"Average Package Power_0 (Watt) = 6.758268"

"Cumulative IA Energy_0 (Joules) = 5.653198"
"Cumulative IA Energy_0 (mWh) = 1.570333"
"Average Package IA_0 (Watt) = 4.573222"

"Cumulative DRAM Energy_0 (Joules) = 0.966797"
"Cumulative DRAM Energy_0 (mWh) = 0.268555"
"Average Package DRAM_0 (Watt) = 0.782102"
